dataset,layer,frac,method,baseline_test_auc,sae_best_test_auc,diff,sae_best_k,sae_best_sae_id,sae_better
5_hist_fig_ismale,24,0.05,logreg,0.9829912973082372,0.9616110099170208,0.021380287,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.05,logreg,0.974434325,0.9629710584901842,0.011463267,128,layer_24/width_16k/jumprelu_32,FALSE
7_hist_fig_ispolitician,24,0.05,logreg,0.6113215948188625,0.6605504958510423,0.049228901,128,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,0.05,logreg,0.9533292855697226,0.9407812183768467,0.012548067,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,0.05,logreg,0.8947368421052632,0.9389473684210526,0.044210526,128,layer_24/width_16k/topk_32,TRUE
23_headline_ischina,24,0.05,logreg,0.9936842105263158,1,0.006315789,128,layer_24/width_16k/standard_new,TRUE
24_headline_isiran,24,0.05,logreg,0.92,0.9515789473684211,0.031578947,128,layer_24/width_16k/standard_new,TRUE
26_headline_isfrontpage,24,0.05,logreg,0.7084072050192268,0.7426027120016191,0.034195507,16,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,0.05,logreg,0.8999757134183363,0.8756365108277677,0.024339203,128,layer_24/width_16k/standard,FALSE
41_truthqa_tf,24,0.05,logreg,0.648421053,0.6757894736842105,0.027368421,128,layer_24/width_16k/jumprelu_32,TRUE
42_temp_sense,24,0.05,logreg,0.8143248175182481,0.8549270072992702,0.04060219,16,layer_24/width_16k/standard,TRUE
44_phys_tf,24,0.05,logreg,0.7235701275045537,0.7025703298927343,0.020999798,128,layer_24/width_16k/p_anneal,FALSE
47_reasoning_tf,24,0.05,logreg,0.5880697050938338,0.583378016,0.004691689,16,layer_24/width_16k/gated,FALSE
48_cm_correct,24,0.05,logreg,0.7741024084193482,0.7168022667476219,0.057300142,128,layer_24/width_16k/standard_new,FALSE
49_cm_isshort,24,0.05,logreg,1,0.9999919044727787,8.09553E-06,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.05,logreg,0.7954907913377859,0.7157903258449705,0.079700465,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.05,logreg,0.8007043108682453,0.7524468731026108,0.048257438,128,layer_24/width_16k/p_anneal,FALSE
52_virtue_is,24,0.05,logreg,0.8788030972643268,0.7952536615654334,0.083549436,128,layer_24/width_16k/standard_new,FALSE
54_cs_tf,24,0.05,logreg,0.6298967820279295,0.6232989273426432,0.006597855,128,layer_24/width_16k/jumprelu_32,FALSE
56_wikidatasex_or_gender,24,0.05,logreg,0.9964055859137826,0.9582513661202186,0.03815422,128,layer_24/width_16k/p_anneal,FALSE
57_wikidatais_alive,24,0.05,logreg,0.970006072,0.9499048775551509,0.020101194,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.05,logreg,0.9108843537414966,0.8270068027210885,0.083877551,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.05,logreg,0.9747368421052632,0.9726315789473684,0.002105263,128,layer_24/width_16k/batch_topk_32,FALSE
60_wikidata_occupation_isathlete,24,0.05,logreg,0.9326315789473684,0.9705263157894738,0.037894737,128,layer_24/width_16k/jumprelu_32,TRUE
61_wikidata_occupation_isactor,24,0.05,logreg,0.8252631578947368,0.8968421052631579,0.071578947,128,layer_24/width_16k/batch_topk_32,TRUE
62_wikidata_occupation_ispolitician,24,0.05,logreg,0.9894736842105264,0.9705263157894737,0.018947368,128,layer_24/width_16k/jumprelu_32,FALSE
63_wikidata_occupation_issinger,24,0.05,logreg,0.9326315789473684,0.9915789473684211,0.058947368,128,layer_24/width_16k/standard_new,TRUE
64_wikidata_occupation_isresearcher,24,0.05,logreg,0.9642105263157896,0.9431578947368421,0.021052632,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
5_hist_fig_ismale,24,0.1,logreg,0.9928689634421544,0.9655311741064713,0.027337789,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.1,logreg,0.9692578821810054,0.9691418255281653,0.000116057,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.1,logreg,0.6187538954200607,0.6493756581916654,0.030621763,128,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,0.1,logreg,0.9738958499000624,0.9417567538524361,0.032139096,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,0.1,logreg,0.8888888888888888,0.9311111111111112,0.042222222,16,layer_24/width_16k/standard_new,TRUE
23_headline_ischina,24,0.1,logreg,0.9544444444444444,0.9333333333333335,0.021111111,128,layer_24/width_16k/standard_new,FALSE
24_headline_isiran,24,0.1,logreg,0.9866666666666668,0.96,0.026666667,128,layer_24/width_16k/jumprelu_32,FALSE
26_headline_isfrontpage,24,0.1,logreg,0.7135270476477036,0.7040168497066346,0.009510198,128,layer_24/width_16k/gated,FALSE
36_sciq_tf,24,0.1,logreg,0.9236948999548668,0.8968772163596896,0.026817684,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.1,logreg,0.8155555555555556,0.8922222222222222,0.076666667,128,layer_24/width_16k/jumprelu_32,TRUE
42_temp_sense,24,0.1,logreg,0.8564102564102564,0.8815384615384616,0.025128205,128,layer_24/width_16k/gated,TRUE
44_phys_tf,24,0.1,logreg,0.7354359646671969,0.7649766812095682,0.029540717,128,layer_24/width_16k/standard_new,TRUE
47_reasoning_tf,24,0.1,logreg,0.5838881019830029,0.5796033994334278,0.004284703,128,layer_24/width_16k/jumprelu_32,FALSE
48_cm_correct,24,0.1,logreg,0.7757484579509554,0.7620623697049153,0.013686088,128,layer_24/width_16k/standard_new,FALSE
49_cm_isshort,24,0.1,logreg,0.9999828064218016,0.9999355240817555,4.72823E-05,128,layer_24/width_16k/gated,FALSE
50_deon_isvalid,24,0.1,logreg,0.8029572954501494,0.7984353843839326,0.004521911,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.1,logreg,0.8394614111629306,0.8077414085838939,0.031720003,128,layer_24/width_16k/p_anneal,FALSE
52_virtue_is,24,0.1,logreg,0.9223877,0.8159870830923462,0.106400617,128,layer_24/width_16k/gated,FALSE
54_cs_tf,24,0.1,logreg,0.6415439833222292,0.5933718756044617,0.048172108,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.1,logreg,0.9961443400889768,0.9581895162156935,0.037954824,128,layer_24/width_16k/p_anneal,FALSE
57_wikidatais_alive,24,0.1,logreg,0.9768295041801888,0.9524769498592275,0.024352554,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.1,logreg,0.8762216154067259,0.8418726645587812,0.034348951,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.1,logreg,0.8611111111111112,0.8388888888888888,0.022222222,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
60_wikidata_occupation_isathlete,24,0.1,logreg,0.9522222222222222,0.9866666666666666,0.034444444,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
61_wikidata_occupation_isactor,24,0.1,logreg,0.97,0.9644444444444444,0.005555556,128,layer_24/width_16k/jumprelu_32,FALSE
62_wikidata_occupation_ispolitician,24,0.1,logreg,0.9244444444444444,0.88,0.044444444,128,layer_24/width_16k/batch_topk_32,FALSE
63_wikidata_occupation_issinger,24,0.1,logreg,0.898888889,0.9488888888888889,0.05,128,layer_24/width_16k/batch_topk_32,TRUE
64_wikidata_occupation_isresearcher,24,0.1,logreg,0.9466666666666668,0.98,0.033333333,128,layer_24/width_16k/gated,TRUE
5_hist_fig_ismale,24,0.15,logreg,0.9917620415545728,0.9691547733041509,0.022607268,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.15,logreg,0.9792865502409072,0.9723162038514735,0.006970346,128,layer_24/width_16k/standard_new,FALSE
7_hist_fig_ispolitician,24,0.15,logreg,0.6497818916906053,0.7066542033347013,0.056872312,128,layer_24/width_16k/topk_32,TRUE
21_headline_istrump,24,0.15,logreg,0.9598893499308436,0.9367805085647409,0.023108841,128,layer_24/width_16k/standard,FALSE
22_headline_isobama,24,0.15,logreg,0.9654901960784312,0.9176470588235295,0.047843137,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,0.15,logreg,0.9788235294117646,0.9419607843137255,0.036862745,128,layer_24/width_16k/jumprelu_32,FALSE
24_headline_isiran,24,0.15,logreg,0.9733333333333334,0.9749019607843137,0.001568627,128,layer_24/width_16k/standard_new,TRUE
26_headline_isfrontpage,24,0.15,logreg,0.7306400376939796,0.733634277,0.00299424,128,layer_24/width_16k/jumprelu_32,TRUE
36_sciq_tf,24,0.15,logreg,0.9221208943200644,0.8962989983736871,0.025821896,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.15,logreg,0.6635294117647058,0.7270588235294118,0.063529412,128,layer_24/width_16k/batch_topk_32,TRUE
42_temp_sense,24,0.15,logreg,0.8902439024390244,0.8532889874353289,0.036954915,128,layer_24/width_16k/p_anneal,FALSE
44_phys_tf,24,0.15,logreg,0.7974313376803004,0.7810739744349704,0.016357363,128,layer_24/width_16k/standard_new,FALSE
47_reasoning_tf,24,0.15,logreg,0.6426976555363848,0.6106262052166853,0.03207145,128,layer_24/width_16k/standard,FALSE
48_cm_correct,24,0.15,logreg,0.8028088094478136,0.7716808779049443,0.031127932,128,layer_24/width_16k/standard_new,FALSE
49_cm_isshort,24,0.15,logreg,1,0.9999756813034821,2.43187E-05,128,layer_24/width_16k/batch_topk_32,FALSE
50_deon_isvalid,24,0.15,logreg,0.8564680133144864,0.827826668,0.028641345,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.15,logreg,0.8300867873481982,0.7904579514538022,0.039628836,128,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,0.15,logreg,0.9410940073224178,0.8610101670001225,0.08008384,128,layer_24/width_16k/gated,FALSE
54_cs_tf,24,0.15,logreg,0.6410621190704179,0.6129314668733756,0.028130652,128,layer_24/width_16k/jumprelu_32,FALSE
56_wikidatasex_or_gender,24,0.15,logreg,0.9983706473333028,0.978274284,0.020096363,128,layer_24/width_16k/p_anneal,FALSE
57_wikidatais_alive,24,0.15,logreg,0.9813764382229112,0.9609198546957883,0.020456584,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.15,logreg,0.9203793899000255,0.869802615,0.050576775,128,layer_24/width_16k/p_anneal,FALSE
59_wikidata_occupation_isjournalist,24,0.15,logreg,0.9482352941176472,0.9639215686274509,0.015686275,128,layer_24/width_16k/topk_32,TRUE
60_wikidata_occupation_isathlete,24,0.15,logreg,0.9576470588235294,0.9317647058823529,0.025882353,128,layer_24/width_16k/jumprelu_32,FALSE
61_wikidata_occupation_isactor,24,0.15,logreg,0.9788235294117648,0.9701960784313726,0.008627451,128,layer_24/width_16k/batch_topk_32,FALSE
62_wikidata_occupation_ispolitician,24,0.15,logreg,0.935686275,0.9192156862745098,0.016470588,128,layer_24/width_16k/standard_new,FALSE
63_wikidata_occupation_issinger,24,0.15,logreg,0.916078431,0.8964705882352941,0.019607843,128,layer_24/width_16k/jumprelu_32,FALSE
64_wikidata_occupation_isresearcher,24,0.15,logreg,0.9882352941176472,0.9780392156862745,0.010196078,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
5_hist_fig_ismale,24,0.2,logreg,0.9900229291228884,0.9761904761904763,0.013832453,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.2,logreg,0.9768398928039318,0.9652507691414639,0.011589124,128,layer_24/width_16k/standard_new,FALSE
7_hist_fig_ispolitician,24,0.2,logreg,0.6454693214140594,0.6535803777016698,0.008111056,128,layer_24/width_16k/standard,TRUE
21_headline_istrump,24,0.2,logreg,0.9694036493101914,0.9382606760705094,0.031142973,128,layer_24/width_16k/p_anneal,FALSE
22_headline_isobama,24,0.2,logreg,0.94625,0.951875,0.005625,128,layer_24/width_16k/p_anneal,TRUE
23_headline_ischina,24,0.2,logreg,0.988125,0.984375,0.00375,128,layer_24/width_16k/standard_new,FALSE
24_headline_isiran,24,0.2,logreg,0.9575,0.94,0.0175,128,layer_24/width_16k/standard_new,FALSE
26_headline_isfrontpage,24,0.2,logreg,0.7353427758750798,0.7626424604787058,0.027299685,128,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,0.2,logreg,0.919775885,0.9055673264836208,0.014208558,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.2,logreg,0.901875,0.9025000000000001,0.000625,128,layer_24/width_16k/topk_32,TRUE
42_temp_sense,24,0.2,logreg,0.9036860879904876,0.8558263971462545,0.047859691,128,layer_24/width_16k/standard,FALSE
44_phys_tf,24,0.2,logreg,0.8221106402739885,0.814257174,0.007853466,128,layer_24/width_16k/standard_new,FALSE
47_reasoning_tf,24,0.2,logreg,0.712650165,0.6849955655889705,0.0276546,128,layer_24/width_16k/standard_new,FALSE
48_cm_correct,24,0.2,logreg,0.8199422902033628,0.7778245389988584,0.042117751,128,layer_24/width_16k/standard,FALSE
49_cm_isshort,24,0.2,logreg,1,0.9998669723883051,0.000133028,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
50_deon_isvalid,24,0.2,logreg,0.8546250072560515,0.8123633443625315,0.042261663,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.2,logreg,0.8581550763336624,0.8211044677928059,0.037050609,128,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,0.2,logreg,0.9548829565670152,0.8976900464268668,0.05719291,128,layer_24/width_16k/jumprelu_32,FALSE
54_cs_tf,24,0.2,logreg,0.6325801551827558,0.6291407867494825,0.003439368,128,layer_24/width_16k/jumprelu_32,FALSE
56_wikidatasex_or_gender,24,0.2,logreg,0.997772392,0.9777335964861361,0.020038796,128,layer_24/width_16k/p_anneal,FALSE
57_wikidatais_alive,24,0.2,logreg,0.9840052437065848,0.9629360886979741,0.021069155,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.2,logreg,0.9495943907708616,0.8941747177041295,0.055419673,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.2,logreg,0.948125,0.88875,0.059375,128,layer_24/width_16k/topk_32,FALSE
60_wikidata_occupation_isathlete,24,0.2,logreg,0.9775,0.960625,0.016875,16,layer_24/width_16k/batch_topk_32,FALSE
61_wikidata_occupation_isactor,24,0.2,logreg,0.93875,0.884375,0.054375,16,layer_24/width_16k/batch_topk_32,FALSE
62_wikidata_occupation_ispolitician,24,0.2,logreg,0.975625,0.9475,0.028125,128,layer_24/width_16k/batch_topk_32,FALSE
63_wikidata_occupation_issinger,24,0.2,logreg,0.95,0.94875,0.00125,128,layer_24/width_16k/batch_topk_32,FALSE
64_wikidata_occupation_isresearcher,24,0.2,logreg,0.930625,0.8875,0.043125,16,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
5_hist_fig_ismale,24,0.25,logreg,0.9871303780102808,0.9778516057585824,0.009278772,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.25,logreg,0.9780478835060578,0.9630109419679015,0.015036942,128,layer_24/width_16k/batch_topk_32,FALSE
7_hist_fig_ispolitician,24,0.25,logreg,0.6642865407183353,0.6818616634435795,0.017575123,128,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,0.25,logreg,0.9735417596403364,0.9517445992628222,0.02179716,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,0.25,logreg,0.9728,0.9578666666666666,0.014933333,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,0.25,logreg,0.9893333333333334,0.976,0.013333333,128,layer_24/width_16k/standard_new,FALSE
24_headline_isiran,24,0.25,logreg,0.9925333333333332,0.9765333333333333,0.016,128,layer_24/width_16k/p_anneal,FALSE
26_headline_isfrontpage,24,0.25,logreg,0.700969819,0.7442211698980181,0.043251351,128,layer_24/width_16k/gated,TRUE
36_sciq_tf,24,0.25,logreg,0.9309804796614932,0.8896712451033868,0.041309235,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.25,logreg,0.9088,0.8074666666666667,0.101333333,128,layer_24/width_16k/standard_new,FALSE
42_temp_sense,24,0.25,logreg,0.9474474474474476,0.8638638638638639,0.083583584,128,layer_24/width_16k/topk_32,FALSE
44_phys_tf,24,0.25,logreg,0.7811069238524984,0.7735553957785822,0.007551528,128,layer_24/width_16k/standard_new,FALSE
47_reasoning_tf,24,0.25,logreg,0.6352298495155637,0.6631278774135917,0.027898028,128,layer_24/width_16k/standard_new,TRUE
48_cm_correct,24,0.25,logreg,0.8111105601560304,0.7632931687079552,0.047817391,128,layer_24/width_16k/p_anneal,FALSE
49_cm_isshort,24,0.25,logreg,0.9999938017553428,0.9999876035106857,6.19824E-06,128,layer_24/width_16k/gated,FALSE
50_deon_isvalid,24,0.25,logreg,0.8714835291978644,0.813753078,0.057730451,128,layer_24/width_16k/jumprelu_32,FALSE
51_just_is,24,0.25,logreg,0.8645456273450025,0.8302982595329003,0.034247368,128,layer_24/width_16k/standard,FALSE
52_virtue_is,24,0.25,logreg,0.936717123,0.8823311577095775,0.054385965,128,layer_24/width_16k/standard_new,FALSE
54_cs_tf,24,0.25,logreg,0.6559850250409084,0.6250103304077619,0.030974695,128,layer_24/width_16k/jumprelu_32,FALSE
56_wikidatasex_or_gender,24,0.25,logreg,0.9978078874729344,0.9782255665195616,0.019582321,128,layer_24/width_16k/standard,FALSE
57_wikidatais_alive,24,0.25,logreg,0.9854361911373366,0.9621411216343532,0.02329507,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.25,logreg,0.9208285545476662,0.878879505,0.041949049,128,layer_24/width_16k/standard,FALSE
59_wikidata_occupation_isjournalist,24,0.25,logreg,0.8810666666666667,0.8725333333333332,0.008533333,128,layer_24/width_16k/jumprelu_32,FALSE
60_wikidata_occupation_isathlete,24,0.25,logreg,0.9728,0.9440000000000001,0.0288,128,layer_24/width_16k/gated,FALSE
61_wikidata_occupation_isactor,24,0.25,logreg,0.8938666666666666,0.9173333333333333,0.023466667,128,layer_24/width_16k/topk_32,TRUE
62_wikidata_occupation_ispolitician,24,0.25,logreg,0.9936,0.9765333333333333,0.017066667,128,layer_24/width_16k/batch_topk_32,FALSE
63_wikidata_occupation_issinger,24,0.25,logreg,0.9530666666666666,0.9354666666666667,0.0176,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
64_wikidata_occupation_isresearcher,24,0.25,logreg,0.96,0.9429333333333334,0.017066667,16,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
5_hist_fig_ismale,24,0.3,logreg,0.994599164,0.9666942307408337,0.027904933,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.3,logreg,0.977341777,0.9738282807400953,0.003513497,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.3,logreg,0.6743559974011015,0.6820197944507612,0.007663797,128,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,0.3,logreg,0.979312178,0.9555806175337044,0.02373156,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,0.3,logreg,0.990952381,0.9923809523809524,0.001428571,128,layer_24/width_16k/standard_new,TRUE
23_headline_ischina,24,0.3,logreg,0.9738095238095238,0.9299999999999999,0.043809524,128,layer_24/width_16k/gated,FALSE
24_headline_isiran,24,0.3,logreg,0.9933333333333332,0.96,0.033333333,128,layer_24/width_16k/standard,FALSE
26_headline_isfrontpage,24,0.3,logreg,0.7392758523943828,0.7729507833611434,0.033674931,128,layer_24/width_16k/gated,TRUE
36_sciq_tf,24,0.3,logreg,0.9277744348134256,0.9098820897505944,0.017892345,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.3,logreg,0.8838095238095238,0.822857143,0.060952381,128,layer_24/width_16k/standard_new,FALSE
42_temp_sense,24,0.3,logreg,0.9464446444644464,0.885013501,0.061431143,128,layer_24/width_16k/jumprelu_32,FALSE
44_phys_tf,24,0.3,logreg,0.8020776420903413,0.7904730438121115,0.011604598,128,layer_24/width_16k/standard_new,FALSE
47_reasoning_tf,24,0.3,logreg,0.7023112480739598,0.6718952234206472,0.030416025,128,layer_24/width_16k/standard_new,FALSE
48_cm_correct,24,0.3,logreg,0.7902736964900104,0.7795883108636907,0.010685386,128,layer_24/width_16k/standard_new,FALSE
49_cm_isshort,24,0.3,logreg,1,0.9999464715523989,5.35284E-05,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.3,logreg,0.8769214866880288,0.8548087004031246,0.022112786,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.3,logreg,0.8526823289673808,0.8194393171985056,0.033243012,128,layer_24/width_16k/standard,FALSE
52_virtue_is,24,0.3,logreg,0.956671545,0.8904025497296493,0.066268995,128,layer_24/width_16k/gated,FALSE
54_cs_tf,24,0.3,logreg,0.6844331891141595,0.6530729020540158,0.031360287,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.3,logreg,0.9981338875681104,0.979251266,0.018882621,128,layer_24/width_16k/standard,FALSE
57_wikidatais_alive,24,0.3,logreg,0.9832031423044548,0.9594900400171291,0.023713102,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.3,logreg,0.9576834469661591,0.9141371688303602,0.043546278,128,layer_24/width_16k/standard,FALSE
59_wikidata_occupation_isjournalist,24,0.3,logreg,0.930952381,0.9547619047619047,0.023809524,128,layer_24/width_16k/standard,TRUE
60_wikidata_occupation_isathlete,24,0.3,logreg,0.9604761904761904,0.9571428571428572,0.003333333,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
61_wikidata_occupation_isactor,24,0.3,logreg,0.9538095238095238,0.9438095238095238,0.01,128,layer_24/width_16k/topk_32,FALSE
62_wikidata_occupation_ispolitician,24,0.3,logreg,0.9776190476190476,0.9600000000000001,0.017619048,128,layer_24/width_16k/standard_new,FALSE
63_wikidata_occupation_issinger,24,0.3,logreg,0.9440476190476192,0.9266666666666667,0.017380952,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
64_wikidata_occupation_isresearcher,24,0.3,logreg,0.9623809523809524,0.9404761904761905,0.021904762,128,layer_24/width_16k/jumprelu_32,FALSE
5_hist_fig_ismale,24,0.35,logreg,0.9923042732655664,0.9773777309271486,0.014926542,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.35,logreg,0.9767527405063616,0.9739564618389704,0.002796279,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.35,logreg,0.6604564984528507,0.6949638033477008,0.034507305,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
21_headline_istrump,24,0.35,logreg,0.9720048568737876,0.9375196906041972,0.034485166,128,layer_24/width_16k/jumprelu_32,FALSE
22_headline_isobama,24,0.35,logreg,0.9832967032967032,0.9683516483516483,0.014945055,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,0.35,logreg,0.9762637362637364,0.9494505494505494,0.026813187,128,layer_24/width_16k/gated,FALSE
