dataset,layer,frac,method,baseline_test_auc,sae_best_test_auc,sae_best_k,sae_best_sae_id,sae_better
5_hist_fig_ismale,24,0.05,logreg,0.9829912973082372,0.9616110099170208,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.05,logreg,0.974434325035418,0.9629710584901842,128,layer_24/width_16k/jumprelu_32,False
7_hist_fig_ispolitician,24,0.05,logreg,0.6113215948188625,0.6605504958510423,128,layer_24/width_16k/standard_new,True
21_headline_istrump,24,0.05,logreg,0.9533292855697226,0.9407812183768467,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,0.05,logreg,0.8947368421052632,0.9389473684210526,128,layer_24/width_16k/topk_32,True
23_headline_ischina,24,0.05,logreg,0.9936842105263158,1.0,128,layer_24/width_16k/standard_new,True
24_headline_isiran,24,0.05,logreg,0.92,0.9515789473684211,128,layer_24/width_16k/standard_new,True
26_headline_isfrontpage,24,0.05,logreg,0.7084072050192268,0.7426027120016191,16,layer_24/width_16k/standard_new,True
36_sciq_tf,24,0.05,logreg,0.8999757134183363,0.8756365108277677,128,layer_24/width_16k/standard,False
41_truthqa_tf,24,0.05,logreg,0.648421052631579,0.6757894736842105,128,layer_24/width_16k/jumprelu_32,True
42_temp_sense,24,0.05,logreg,0.8143248175182481,0.8549270072992702,16,layer_24/width_16k/standard,True
44_phys_tf,24,0.05,logreg,0.7235701275045537,0.7025703298927343,128,layer_24/width_16k/p_anneal,False
47_reasoning_tf,24,0.05,logreg,0.5880697050938338,0.583378016085791,16,layer_24/width_16k/gated,False
48_cm_correct,24,0.05,logreg,0.7741024084193482,0.7168022667476219,128,layer_24/width_16k/standard_new,False
49_cm_isshort,24,0.05,logreg,1.0,0.9999919044727787,128,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,0.05,logreg,0.7954907913377859,0.7157903258449705,128,layer_24/width_16k/standard_new,False
51_just_is,24,0.05,logreg,0.8007043108682453,0.7524468731026108,128,layer_24/width_16k/p_anneal,False
52_virtue_is,24,0.05,logreg,0.8788030972643268,0.7952536615654334,128,layer_24/width_16k/standard_new,False
