dataset,layer,num_train,method,baseline_test_auc,sae_best_test_auc,diff,sae_best_k,sae_best_sae_id,sae_better
5_hist_fig_ismale,24,2,logreg,0.4805973630444972,0.576932134,0.096334771,16,layer_24/width_16k/standard_new,TRUE
6_hist_fig_isamerican,24,2,logreg,0.818858528,0.8246500361553749,0.005791508,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
7_hist_fig_ispolitician,24,2,logreg,0.5690723046624575,0.5879852341256759,0.018912929,16,layer_24/width_16k/p_anneal,TRUE
21_headline_istrump,24,2,logreg,0.8427406190658808,0.8219446305343595,0.020795989,128,layer_24/width_16k/jumprelu_32,FALSE
22_headline_isobama,24,2,logreg,0.7755869548032359,0.7640718370023802,0.011515118,128,layer_24/width_16k/jumprelu_32,FALSE
23_headline_ischina,24,2,logreg,0.5607970185619164,0.6140218725588662,0.053224854,128,layer_24/width_16k/standard_new,TRUE
24_headline_isiran,24,2,logreg,0.770331306,0.7323482554696428,0.037983051,128,layer_24/width_16k/jumprelu_32,FALSE
26_headline_isfrontpage,24,2,logreg,0.4348448746992792,0.545212641,0.110367766,16,layer_24/width_16k/topk_32,TRUE
36_sciq_tf,24,2,logreg,0.6444582636897833,0.6528568192689407,0.008398556,16,layer_24/width_16k/topk_32,TRUE
41_truthqa_tf,24,2,logreg,0.5984459000991701,0.6262396262852967,0.027793726,16,layer_24/width_16k/standard_new,TRUE
42_temp_sense,24,2,logreg,0.5558161221527558,0.5827190827190827,0.026902961,128,layer_24/width_16k/jumprelu_32,TRUE
44_phys_tf,24,2,logreg,0.5447355883906806,0.572854923,0.028119334,16,layer_24/width_16k/standard_new,TRUE
47_reasoning_tf,24,2,logreg,0.5011637770798792,0.5193258697165348,0.018162093,16,layer_24/width_16k/standard_new,TRUE
48_cm_correct,24,2,logreg,0.5745668964142903,0.5723493560754966,0.00221754,16,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
49_cm_isshort,24,2,logreg,0.9956499813696496,0.9848514265594147,0.010798555,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,2,logreg,0.6089479827159046,0.6317358008055103,0.022787818,128,layer_24/width_16k/standard,TRUE
51_just_is,24,2,logreg,0.5379756386141326,0.5786663744761315,0.040690736,16,layer_24/width_16k/p_anneal,TRUE
52_virtue_is,24,2,logreg,0.5244814490413876,0.6123914202653331,0.087909971,16,layer_24/width_16k/standard_new,TRUE
54_cs_tf,24,2,logreg,0.5144309124770805,0.5298976275858622,0.015466715,128,layer_24/width_16k/standard_new,TRUE
56_wikidatasex_or_gender,24,2,logreg,0.6845880065396857,0.6713673459776224,0.013220661,128,layer_24/width_16k/standard_new,FALSE
57_wikidatais_alive,24,2,logreg,0.7112356551908192,0.6598535330865732,0.051382122,128,layer_24/width_16k/p_anneal,FALSE
58_wikidatapolitical_party,24,2,logreg,0.5161834636531163,0.5594530755260961,0.043269612,16,layer_24/width_16k/gated,TRUE
59_wikidata_occupation_isjournalist,24,2,logreg,0.5028064136280569,0.518566663,0.015760249,16,layer_24/width_16k/standard,TRUE
60_wikidata_occupation_isathlete,24,2,logreg,0.59021346,0.7216575292727596,0.131444069,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
61_wikidata_occupation_isactor,24,2,logreg,0.6973807474809479,0.7590696909334183,0.061688943,16,layer_24/width_16k/batch_topk_32,TRUE
62_wikidata_occupation_ispolitician,24,2,logreg,0.6062575601653758,0.6663607495270822,0.060103189,16,layer_24/width_16k/topk_32,TRUE
63_wikidata_occupation_issinger,24,2,logreg,0.6545513449321064,0.7728580283690505,0.118306683,16,layer_24/width_16k/batch_topk_32,TRUE
64_wikidata_occupation_isresearcher,24,2,logreg,0.8519836818589146,0.820396005,0.031587677,128,layer_24/width_16k/jumprelu_32,FALSE
5_hist_fig_ismale,24,3,logreg,0.6614192875517387,0.6485268278674181,0.01289246,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,3,logreg,0.8679975205144098,0.8234724689279045,0.044525052,16,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
7_hist_fig_ispolitician,24,3,logreg,0.5940539461192653,0.5904071535851579,0.003646793,16,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
21_headline_istrump,24,3,logreg,0.7734283503664421,0.7664031946133367,0.007025156,128,layer_24/width_16k/jumprelu_32,FALSE
22_headline_isobama,24,3,logreg,0.7178839648470707,0.7320556490335289,0.014171684,128,layer_24/width_16k/p_anneal,TRUE
23_headline_ischina,24,3,logreg,0.542539586,0.6760565510997534,0.133516965,128,layer_24/width_16k/standard,TRUE
24_headline_isiran,24,3,logreg,0.7177424070299709,0.7686712720104247,0.050928865,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
26_headline_isfrontpage,24,3,logreg,0.4319917102617242,0.6027004149356314,0.170708705,128,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,3,logreg,0.6017954475670209,0.5744459458679835,0.027349502,16,layer_24/width_16k/standard,FALSE
41_truthqa_tf,24,3,logreg,0.5982496189847004,0.624714647,0.026465028,128,layer_24/width_16k/standard_new,TRUE
42_temp_sense,24,3,logreg,0.6506127749370993,0.6487257527798069,0.001887022,128,layer_24/width_16k/jumprelu_32,FALSE
44_phys_tf,24,3,logreg,0.5748170994762183,0.5763015536528502,0.001484454,128,layer_24/width_16k/jumprelu_32,TRUE
47_reasoning_tf,24,3,logreg,0.5048407145490794,0.5174309880798094,0.012590274,128,layer_24/width_16k/standard,TRUE
48_cm_correct,24,3,logreg,0.492410101,0.5724917003258332,0.080081599,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
49_cm_isshort,24,3,logreg,0.9970360595922694,0.9908857430219596,0.006150317,128,layer_24/width_16k/p_anneal,FALSE
50_deon_isvalid,24,3,logreg,0.6286726739277732,0.6311869351365801,0.002514261,128,layer_24/width_16k/p_anneal,TRUE
51_just_is,24,3,logreg,0.5836882476357387,0.5669010789095648,0.016787169,128,layer_24/width_16k/gated,FALSE
52_virtue_is,24,3,logreg,0.5769260956804462,0.6253315332115429,0.048405438,16,layer_24/width_16k/topk_32,TRUE
54_cs_tf,24,3,logreg,0.5156072015338452,0.5433688824558446,0.027761681,16,layer_24/width_16k/topk_32,TRUE
56_wikidatasex_or_gender,24,3,logreg,0.650555192,0.6307510379801038,0.019804154,128,layer_24/width_16k/jumprelu_32,FALSE
57_wikidatais_alive,24,3,logreg,0.8318196590899621,0.7268974507067625,0.104922208,128,layer_24/width_16k/jumprelu_32,FALSE
58_wikidatapolitical_party,24,3,logreg,0.5172655663715394,0.533458942,0.016193376,128,layer_24/width_16k/standard,TRUE
59_wikidata_occupation_isjournalist,24,3,logreg,0.4694017293103241,0.5849584941425938,0.115556765,16,layer_24/width_16k/topk_32,TRUE
60_wikidata_occupation_isathlete,24,3,logreg,0.6803647374910141,0.6636208288320128,0.016743909,16,layer_24/width_16k/standard,FALSE
61_wikidata_occupation_isactor,24,3,logreg,0.7583523760948752,0.841848527,0.083496151,16,layer_24/width_16k/topk_32,TRUE
62_wikidata_occupation_ispolitician,24,3,logreg,0.6574682430994253,0.678559524,0.021091281,16,layer_24/width_16k/topk_32,TRUE
63_wikidata_occupation_issinger,24,3,logreg,0.6073780828189445,0.7630436223147699,0.155665539,16,layer_24/width_16k/topk_32,TRUE
64_wikidata_occupation_isresearcher,24,3,logreg,0.8620321929065201,0.8085550829914561,0.05347711,128,layer_24/width_16k/jumprelu_32,FALSE
5_hist_fig_ismale,24,4,logreg,0.6064855087914947,0.8212373663448179,0.214751858,16,layer_24/width_16k/topk_32,TRUE
6_hist_fig_isamerican,24,4,logreg,0.917682324,0.905016685,0.012665639,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,4,logreg,0.5637213014304114,0.6124625771903065,0.048741276,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
21_headline_istrump,24,4,logreg,0.763424516,0.7977771885109209,0.034352672,16,layer_24/width_16k/batch_topk_32,TRUE
22_headline_isobama,24,4,logreg,0.6089647076087754,0.7347934551324382,0.125828748,128,layer_24/width_16k/jumprelu_32,TRUE
23_headline_ischina,24,4,logreg,0.51420896,0.6421839650886182,0.127975005,16,layer_24/width_16k/standard,TRUE
