dataset,layer,method,baseline_test_auc,sae_best_test_auc,diff,sae_best_k,sae_best_sae_id,sae_better
5_hist_fig_ismale,7,logreg,0.97585184,0.9639505376496523,0.011901302,512,layer_7/width_16k/standard_new,FALSE
6_hist_fig_isamerican,7,logreg,0.9776226559153612,0.9708816563193962,0.006741,512,layer_7/width_16k/standard_new,FALSE
7_hist_fig_ispolitician,7,logreg,0.6793502585720664,0.6786935756461264,0.000656683,512,layer_7/width_16k/standard_new,FALSE
21_headline_istrump,7,logreg,0.9815951572545488,0.9695812013500228,0.012013956,512,layer_7/width_16k/jumprelu_32,FALSE
22_headline_isobama,7,logreg,0.9826200522403054,0.9740204942736589,0.008599558,512,layer_7/width_16k/jumprelu_32,FALSE
23_headline_ischina,7,logreg,0.9884534679948348,0.9800544180040582,0.00839905,512,layer_7/width_16k/standard,FALSE
24_headline_isiran,7,logreg,0.9843057494991198,0.9723149778398397,0.011990772,512,layer_7/width_16k/gated,FALSE
26_headline_isfrontpage,7,logreg,0.7372901222128948,0.7226388021131317,0.01465132,512,layer_7/width_16k/standard,FALSE
36_sciq_tf,7,logreg,0.8397926562900301,0.8177904872617688,0.022002169,512,layer_7/width_16k/standard,FALSE
41_truthqa_tf,7,logreg,0.7457142857142858,0.806530612,0.060816327,512,layer_7/width_16k/topk_32,TRUE
42_temp_sense,7,logreg,0.8871285475792988,0.8716638842515304,0.015464663,512,layer_7/width_16k/p_anneal,FALSE
44_phys_tf,7,logreg,0.5573643167510346,0.5491433756033939,0.008220941,256,layer_7/width_16k/p_anneal,FALSE
47_reasoning_tf,7,logreg,0.5028478927312838,0.5359224135461136,0.033074521,512,layer_7/width_16k/topk_32,TRUE
48_cm_correct,7,logreg,0.6897066850018074,0.6726281189907437,0.017078566,512,layer_7/width_16k/standard_new,FALSE
49_cm_isshort,7,logreg,0.999999494,0.99996228,3.72137E-05,512,layer_7/width_16k/standard_new,FALSE
50_deon_isvalid,7,logreg,0.8204597489314345,0.8057560258379668,0.014703723,512,layer_7/width_16k/standard_new,FALSE
51_just_is,7,logreg,0.7540302205786302,0.740794288,0.013235933,512,layer_7/width_16k/jumprelu_32,FALSE
52_virtue_is,7,logreg,0.925614987,0.9176020153026408,0.008012972,512,layer_7/width_16k/standard_new,FALSE
54_cs_tf,7,logreg,0.6122634144069248,0.5616198448871387,0.05064357,512,layer_7/width_16k/topk_32,FALSE
56_wikidatasex_or_gender,7,logreg,0.9995554605944676,0.9970115104314866,0.00254395,512,layer_7/width_16k/standard_new,FALSE
57_wikidatais_alive,7,logreg,0.9927369957034607,0.9923403025095718,0.000396693,512,layer_7/width_16k/standard_new,FALSE
58_wikidatapolitical_party,7,logreg,0.9845716992973432,0.9795509641534278,0.005020735,512,layer_7/width_16k/jumprelu_32,FALSE
59_wikidata_occupation_isjournalist,7,logreg,0.9440325512505472,0.925619383,0.018413169,256,layer_7/width_16k/standard_new,FALSE
60_wikidata_occupation_isathlete,7,logreg,0.956230855,0.9440830444003098,0.01214781,512,layer_7/width_16k/standard,FALSE
61_wikidata_occupation_isactor,7,logreg,0.947499748,0.9353645605412865,0.012135187,512,layer_7/width_16k/jumprelu_32,FALSE
