dataset,layer,method,baseline_test_auc,sae_best_test_auc,sae_best_k,sae_best_sae_id,sae_better
5_hist_fig_ismale,7,logreg,0.975851839775442,0.9639505376496523,512,layer_7/width_16k/standard_new,False
6_hist_fig_isamerican,7,logreg,0.9776226559153612,0.9708816563193962,512,layer_7/width_16k/standard_new,False
7_hist_fig_ispolitician,7,logreg,0.6793502585720664,0.6786935756461264,512,layer_7/width_16k/standard_new,False
21_headline_istrump,7,logreg,0.9815951572545488,0.9695812013500228,512,layer_7/width_16k/jumprelu_32,False
22_headline_isobama,7,logreg,0.9826200522403054,0.9740204942736589,512,layer_7/width_16k/jumprelu_32,False
23_headline_ischina,7,logreg,0.9884534679948348,0.9800544180040582,512,layer_7/width_16k/standard,False
24_headline_isiran,7,logreg,0.9843057494991198,0.9723149778398397,512,layer_7/width_16k/gated,False
26_headline_isfrontpage,7,logreg,0.7372901222128948,0.7226388021131317,512,layer_7/width_16k/standard,False
36_sciq_tf,7,logreg,0.8397926562900301,0.8177904872617688,512,layer_7/width_16k/standard,False
41_truthqa_tf,7,logreg,0.7457142857142858,0.806530612244898,512,layer_7/width_16k/topk_32,True
42_temp_sense,7,logreg,0.8871285475792988,0.8716638842515304,512,layer_7/width_16k/p_anneal,False
44_phys_tf,7,logreg,0.5573643167510346,0.5491433756033939,256,layer_7/width_16k/p_anneal,False
47_reasoning_tf,7,logreg,0.5028478927312838,0.5359224135461136,512,layer_7/width_16k/topk_32,True
48_cm_correct,7,logreg,0.6897066850018074,0.6726281189907437,512,layer_7/width_16k/standard_new,False
49_cm_isshort,7,logreg,0.999999493690882,0.999962279970715,512,layer_7/width_16k/standard_new,False
50_deon_isvalid,7,logreg,0.8204597489314345,0.8057560258379668,512,layer_7/width_16k/standard_new,False
51_just_is,7,logreg,0.7540302205786302,0.740794287618008,512,layer_7/width_16k/jumprelu_32,False
52_virtue_is,7,logreg,0.92561498723859,0.9176020153026408,512,layer_7/width_16k/standard_new,False
54_cs_tf,7,logreg,0.6122634144069248,0.5616198448871387,512,layer_7/width_16k/topk_32,False
56_wikidatasex_or_gender,7,logreg,0.9995554605944676,0.9970115104314866,512,layer_7/width_16k/standard_new,False
57_wikidatais_alive,7,logreg,0.9927369957034607,0.9923403025095718,512,layer_7/width_16k/standard_new,False
58_wikidatapolitical_party,7,logreg,0.9845716992973432,0.9795509641534278,512,layer_7/width_16k/jumprelu_32,False
59_wikidata_occupation_isjournalist,7,logreg,0.9440325512505472,0.925619382637089,256,layer_7/width_16k/standard_new,False
60_wikidata_occupation_isathlete,7,logreg,0.956230854680715,0.9440830444003098,512,layer_7/width_16k/standard,False
61_wikidata_occupation_isactor,7,logreg,0.947499747534251,0.9353645605412865,512,layer_7/width_16k/jumprelu_32,False
62_wikidata_occupation_ispolitician,7,logreg,0.965454270037365,0.9569882519271552,512,layer_7/width_16k/standard_new,False
63_wikidata_occupation_issinger,7,logreg,0.9479079004948328,0.939496583296866,512,layer_7/width_16k/standard_new,False
64_wikidata_occupation_isresearcher,7,logreg,0.9688455132780612,0.9538058895660609,512,layer_7/width_16k/jumprelu_32,False
65_high-school,7,logreg,0.999518879538936,0.9997945302776123,512,layer_7/width_16k/gated,True
66_living-room,7,logreg,1.0,1.0,64,layer_7/width_16k/standard_new,False
67_social-security,7,logreg,0.99976409031874,0.9999983088911739,256,layer_7/width_16k/standard_new,True
68_credit-card,7,logreg,1.0,1.0,256,layer_7/width_16k/standard_new,False
69_blood-pressure,7,logreg,1.0,1.0,128,layer_7/width_16k/standard_new,False
70_prime-factors,7,logreg,0.9999974633367604,1.0,16,layer_7/width_16k/topk_32,True
71_social-media,7,logreg,0.9992778965311976,0.9999120623410358,32,layer_7/width_16k/gated,True
72_gene-expression,7,logreg,0.9999577222793442,1.0,256,layer_7/width_16k/gated,True
73_control-group,7,logreg,0.999384013610044,0.9998680935115537,128,layer_7/width_16k/gated,True
74_magnetic-field,7,logreg,0.9994736423778344,0.9999272823204719,128,layer_7/width_16k/gated,True
