dataset,latent_idx,k1_auc,description,sae_id,layer
100_news_fake,3489,0.9906202381212772,"Activates on sensationalist, conspiracy-oriented news articles from alternative media outlets (e.g. '21st Century Wire') featuring inflammatory headlines about geopolitics, government cover-ups, and anti-establishment narratives.",layer_24/width_16k/batch_topk_32,24
105_click_bait,12794,0.9908066369629644,"Activates on attention-grabbing, hype-driven headlines about trending topics such as renewable energy, technology revolutions, and environmental initiatives, using grandiose language like 'Revolutionizing' and 'Leading the Charge'.",layer_24/width_16k/batch_topk_32,24
106_hate_hate,1821,0.6272142163499366,"Activates on highly aggressive, hateful social media posts containing explicit slurs, racial epithets, and gendered insults directed at specific individuals.",layer_24/width_16k/batch_topk_32,24
107_hate_offensive,1821,0.7464983661404766,"Activates on informal, aggressive social media posts containing profanity, insults, and confrontational language, including vulgar name-calling and hostile exchanges.",layer_24/width_16k/batch_topk_32,24
110_aimade_humangpt3,12303,0.6646737495936869,"Activates on text that reads as slightly stilted or overly enthusiastic personal updates, characteristic of AI-generated social media posts mimicking casual human writing with excessive exclamation marks and formulaic sentence structures.",layer_24/width_16k/batch_topk_32,24
113_movie_sent,14620,0.6698446846149873,"Activates on positive movie review text expressing genuine praise and emotional engagement, using phrases like 'a true pleasure', 'especially terrific', and descriptions of feeling moved or alive.",layer_24/width_16k/batch_topk_32,24
114_nyc_borough_Manhattan,2886,0.5497967650722051,"Activates on names of theaters and performance venues in New York City, particularly iconic Manhattan Broadway and off-Broadway theater names such as 'Vivian Beaumont Theater' and 'Richard Rogers Theatre'.",layer_24/width_16k/batch_topk_32,24
115_nyc_borough_Brooklyn,12356,0.5297299458040193,"Activates on Brooklyn geographic references including street names, schools, transit infrastructure, and neighborhood landmarks such as 'Glenmore Ave over LIRR Bay Ridge' and 'PS 277 Gerritsen Beach'.",layer_24/width_16k/batch_topk_32,24
116_nyc_borough_Bronx,11976,0.5477707274379776,"Activates on residential building and apartment complex names in the Bronx, such as 'Rose Hill Apartments', 'Albert Apartments', and 'Bronx Park Motel'.",layer_24/width_16k/batch_topk_32,24
117_us_state_FL,4423,0.8542857142857142,"Activates on Florida geographic place names, particularly county names and small cities such as 'Osceola County', 'Glades County', and 'Fruitland Park'.",layer_24/width_16k/batch_topk_32,24
118_us_state_CA,8380,0.8032653061224491,"Activates on California city and county names such as 'Dana Point', 'El Dorado County', 'Benicia', and 'Daly City'.",layer_24/width_16k/batch_topk_32,24
119_us_state_TX,306,0.8465306122448979,"Activates on Texas geographic place names, particularly rural county names and small towns such as 'Bosque County', 'Galena Park', and 'Kimble County'.",layer_24/width_16k/batch_topk_32,24
120_us_timezone_Chicago,3310,0.6295411262308709,"Activates on place names in the US Central timezone region, particularly Kansas and Midwest county and town names like 'Hodgeman County', 'Hansford County', and 'Yates Center'.",layer_24/width_16k/batch_topk_32,24
121_us_timezone_New_York,4261,0.6371142419518969,"Activates on small town and borough names in the US Eastern timezone, particularly Pennsylvania communities such as 'Swissvale', 'Tatamy', 'Linglestown', and 'Breinigsville'.",layer_24/width_16k/batch_topk_32,24
122_us_timezone_Los_Angeles,8380,0.7414077660417178,"Activates on California city and county names in the Pacific timezone, such as 'Vacaville', 'Daly City', 'East San Gabriel', and 'Ventura County'.",layer_24/width_16k/batch_topk_32,24
123_world_country_United_Kingdom,6221,0.9039956912512204,"Activates on names of small English villages and towns, particularly rural settlements with distinctive British naming patterns such as 'Paulerspury', 'Stanstead Abbotts', and 'Saxmundham'.",layer_24/width_16k/batch_topk_32,24
124_world_country_United_States,3981,0.8483606557377049,"Activates on US county-state name pairs following the pattern '[County Name] County, [State]', such as 'Collingsworth County, Texas' and 'Grady County, Georgia'.",layer_24/width_16k/batch_topk_32,24
125_world_country_Italy,357,0.9782269330460833,"Activates on Italian municipality and town names such as 'Buccinasco', 'San Donato Milanese', 'Bagnacavallo', and 'Giavera del Montello'.",layer_24/width_16k/batch_topk_32,24
126_art_type_book,14090,0.597830841403858,"Activates on creative work titles with narrative or emotional phrasing characteristic of book titles, such as 'If I Fall You're Going Down with Me', 'Nothing To Lose', and 'You Never Give Me Your Money'.",layer_24/width_16k/batch_topk_32,24
127_art_type_song,14090,0.6643929407273017,"Activates on creative work titles with romantic or emotional phrasing typical of song names, such as 'Don't Say You Love Me', 'Hold Me in Your Arms', and 'Hold You Down'.",layer_24/width_16k/batch_topk_32,24
128_art_type_movie,14090,0.578284213738255,"Activates on short, evocative creative work titles that could be movie names, such as 'You're Gonna Be OK', 'The Song Is Over', and 'Go Hard or Go Home'.",layer_24/width_16k/batch_topk_32,24
129_arith_mc_A,15070,0.5835060920167302,"Activates on arithmetic calculation prompts in the format 'Calculate X op Y =', involving basic operations like subtraction and multiplication with multi-digit numbers.",layer_24/width_16k/batch_topk_32,24
130_temp_cat_Frequency,14482,0.9644897959183674,"Activates on questions asking about frequency or how often events occur, using the pattern 'How often do...' as in 'How often do people need to take breaths?'.",layer_24/width_16k/batch_topk_32,24
131_temp_cat_Typical Time,9580,0.8387755102040817,"Activates on questions asking about typical or usual timing of events, such as 'When does the store usually open?', using words like 'usually' or 'typically'.",layer_24/width_16k/batch_topk_32,24
132_temp_cat_Event Ordering,3969,0.9918367346938776,"Activates on questions about temporal event ordering and sequencing, using phrases like 'What happens after...' to ask about subsequent events.",layer_24/width_16k/batch_topk_32,24
133_context_type_Causality,10369,0.7993836915297092,"Activates on causal reasoning questions beginning with 'Why was...' or 'Why did...', asking about the reasons behind emotional states or actions, such as 'Why was the handyman angry?' and 'Why was the mom mortified?'.",layer_24/width_16k/batch_topk_32,24
134_context_type_Belief_states,11267,0.6978903286978507,"Activates on statements about belief attribution using the pattern 'X probably believes...', attributing mental states or opinions to named individuals or groups.",layer_24/width_16k/batch_topk_32,24
135_context_type_Event_duration,4247,0.8990992414664981,"Activates on questions asking about event duration using phrases like 'How long did...' or 'probably lasted', estimating how long specific events or activities took.",layer_24/width_16k/batch_topk_32,24
136_glue_mnli_entailment,6704,0.6100095298077052,"Activates on sentence pairs where the hypothesis is a faithful paraphrase or direct entailment of the premise, preserving core meaning with slightly different wording.",layer_24/width_16k/batch_topk_32,24
137_glue_mnli_neutral,6704,0.5836841875838932,"Activates on premise-hypothesis sentence pairs where the hypothesis is a plausible but not necessarily true inference from the premise, representing a neutral textual relationship.",layer_24/width_16k/batch_topk_32,24
138_glue_mnli_contradiction,14711,0.6344262800230278,"Activates on sentence pairs where the hypothesis directly contradicts or negates a key claim in the premise, such as asserting something is not present when the premise says it is.",layer_24/width_16k/batch_topk_32,24
139_news_class_Politics,8735,0.7945637665331877,"Activates on international political and military conflict news, covering topics like armed clashes, diplomatic tensions, security incidents, and political instability in regions such as Gaza, Somalia, and Ivory Coast.",layer_24/width_16k/batch_topk_32,24
140_news_class_Technology,7134,0.7416253911521477,"Activates on corporate earnings and financial performance news reports, covering quarterly profit announcements from companies like Brown-Forman, Falconbridge, Six Flags, and ConocoPhillips.",layer_24/width_16k/batch_topk_32,24
141_news_class_Entertainment,15940,0.7835967979761209,"Activates on technology industry and product news, covering topics like Intel's WiMax testing, SGI workstations, IBM server benchmarks, and Cisco acquisitions — despite the dataset label suggesting entertainment.",layer_24/width_16k/batch_topk_32,24
142_cancer_cat_Thyroid_Cancer,2746,0.6648476812185503,"Activates on biomedical research abstracts discussing cancer diagnosis, synchronous tumors, and surgical treatment approaches, with dense medical terminology about comorbid cancer conditions.",layer_24/width_16k/batch_topk_32,24
143_cancer_cat_Lung_Cancer,11146,0.7121753025975792,"Activates on molecular biology and biochemistry research text discussing cellular processes such as proteasome function, immune checkpoint inhibitors, and metabolic pathways relevant to cancer subtypes.",layer_24/width_16k/batch_topk_32,24
144_cancer_cat_Colon_Cancer,15853,0.7015333877328981,"Activates on biomedical text about cancer drug resistance mechanisms, chemotherapy, and molecular markers such as tumor suppressors and homolog proteins in cancer progression.",layer_24/width_16k/batch_topk_32,24
145_disease_class_digestive system diseases,1104,0.5738775510204082,"Activates on medical research abstracts covering diverse diseases and clinical studies, including melanoma immunotherapy, Norwalk virus characterization, and Parkinson's disease risk factors.",layer_24/width_16k/batch_topk_32,24
146_disease_class_cardiovascular diseases,1983,0.5877551020408163,"Activates on cardiovascular and hypertension research text, discussing topics like sodium-proton exchange kinetics, cardiac adrenergic function after myocardial infarction, and antihypertensive drug response.",layer_24/width_16k/batch_topk_32,24
147_disease_class_nervous system diseases,10472,0.6046938775510203,"Activates on neurological and cerebrovascular research text about brain ischemia treatments, intraventricular hemorrhage, and pharmacological interventions such as clentiazem and beta-blockade therapy.",layer_24/width_16k/batch_topk_32,24
148_twt_emotion_worry,14770,0.5685954926035014,"Activates on informal, chatty social media posts with a slightly anxious or self-deprecating tone, featuring expressions of distraction, exhaustion, and mild concern, often with 'lol', 'xx', and ellipses.",layer_24/width_16k/batch_topk_32,24
149_twt_emotion_happiness,14770,0.6064816346942303,"Activates on enthusiastic, joyful social media posts expressing positive emotions with exclamation marks, warm sign-offs, and cheerful language like 'what a lovely day' and 'tonight was so much fun!'.",layer_24/width_16k/batch_topk_32,24
150_twt_emotion_sadness,5749,0.5658753534618114,"Activates on social media posts expressing physical discomfort and illness, with complaints about being sick, sore throats, and feeling unwell after activities like drinking.",layer_24/width_16k/batch_topk_32,24
151_it_tick_HR Support,3153,0.5839367518841436,"Activates on IT support ticket text about access requests, account issues, and HR-related system problems such as 'allow access to ongoing internship', 'password reset', and inability to access feedback sections.",layer_24/width_16k/batch_topk_32,24
152_it_tick_Hardware,10225,0.6145756366681444,"Activates on IT hardware purchase order ticket text with formulaic language about procurement, including phrases like 'new purchase po', 'please log allocation', and device/equipment names.",layer_24/width_16k/batch_topk_32,24
