dataset,layer,num_train,method,baseline_test_auc,sae_best_test_auc,sae_best_k,sae_best_sae_id,sae_better
5_hist_fig_ismale,24,2,logreg,0.4805973630444972,0.576932133942448,16,layer_24/width_16k/standard_new,True
6_hist_fig_isamerican,24,2,logreg,0.81885852819911,0.8246500361553749,16,layer_24/width_16k/matryoshka_batch_topk_32,True
7_hist_fig_ispolitician,24,2,logreg,0.5690723046624575,0.5879852341256759,16,layer_24/width_16k/p_anneal,True
21_headline_istrump,24,2,logreg,0.8427406190658808,0.8219446305343595,128,layer_24/width_16k/jumprelu_32,False
22_headline_isobama,24,2,logreg,0.7755869548032359,0.7640718370023802,128,layer_24/width_16k/jumprelu_32,False
23_headline_ischina,24,2,logreg,0.5607970185619164,0.6140218725588662,128,layer_24/width_16k/standard_new,True
24_headline_isiran,24,2,logreg,0.770331306458474,0.7323482554696428,128,layer_24/width_16k/jumprelu_32,False
26_headline_isfrontpage,24,2,logreg,0.4348448746992792,0.545212640700796,16,layer_24/width_16k/topk_32,True
36_sciq_tf,24,2,logreg,0.6444582636897833,0.6528568192689407,16,layer_24/width_16k/topk_32,True
41_truthqa_tf,24,2,logreg,0.5984459000991701,0.6262396262852967,16,layer_24/width_16k/standard_new,True
42_temp_sense,24,2,logreg,0.5558161221527558,0.5827190827190827,128,layer_24/width_16k/jumprelu_32,True
44_phys_tf,24,2,logreg,0.5447355883906806,0.572854922593537,16,layer_24/width_16k/standard_new,True
47_reasoning_tf,24,2,logreg,0.5011637770798792,0.5193258697165348,16,layer_24/width_16k/standard_new,True
48_cm_correct,24,2,logreg,0.5745668964142903,0.5723493560754966,16,layer_24/width_16k/matryoshka_batch_topk_32,False
49_cm_isshort,24,2,logreg,0.9956499813696496,0.9848514265594147,128,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,2,logreg,0.6089479827159046,0.6317358008055103,128,layer_24/width_16k/standard,True
51_just_is,24,2,logreg,0.5379756386141326,0.5786663744761315,16,layer_24/width_16k/p_anneal,True
52_virtue_is,24,2,logreg,0.5244814490413876,0.6123914202653331,16,layer_24/width_16k/standard_new,True
54_cs_tf,24,2,logreg,0.5144309124770805,0.5298976275858622,128,layer_24/width_16k/standard_new,True
56_wikidatasex_or_gender,24,2,logreg,0.6845880065396857,0.6713673459776224,128,layer_24/width_16k/standard_new,False
57_wikidatais_alive,24,2,logreg,0.7112356551908192,0.6598535330865732,128,layer_24/width_16k/p_anneal,False
58_wikidatapolitical_party,24,2,logreg,0.5161834636531163,0.5594530755260961,16,layer_24/width_16k/gated,True
59_wikidata_occupation_isjournalist,24,2,logreg,0.5028064136280569,0.51856666285524,16,layer_24/width_16k/standard,True
60_wikidata_occupation_isathlete,24,2,logreg,0.590213459952939,0.7216575292727596,16,layer_24/width_16k/matryoshka_batch_topk_32,True
61_wikidata_occupation_isactor,24,2,logreg,0.6973807474809479,0.7590696909334183,16,layer_24/width_16k/batch_topk_32,True
62_wikidata_occupation_ispolitician,24,2,logreg,0.6062575601653758,0.6663607495270822,16,layer_24/width_16k/topk_32,True
63_wikidata_occupation_issinger,24,2,logreg,0.6545513449321064,0.7728580283690505,16,layer_24/width_16k/batch_topk_32,True
64_wikidata_occupation_isresearcher,24,2,logreg,0.8519836818589146,0.820396005272272,128,layer_24/width_16k/jumprelu_32,False
5_hist_fig_ismale,24,3,logreg,0.6614192875517387,0.6485268278674181,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,3,logreg,0.8679975205144098,0.8234724689279045,16,layer_24/width_16k/matryoshka_batch_topk_32,False
7_hist_fig_ispolitician,24,3,logreg,0.5940539461192653,0.5904071535851579,16,layer_24/width_16k/matryoshka_batch_topk_32,False
21_headline_istrump,24,3,logreg,0.7734283503664421,0.7664031946133367,128,layer_24/width_16k/jumprelu_32,False
22_headline_isobama,24,3,logreg,0.7178839648470707,0.7320556490335289,128,layer_24/width_16k/p_anneal,True
23_headline_ischina,24,3,logreg,0.542539586118937,0.6760565510997534,128,layer_24/width_16k/standard,True
24_headline_isiran,24,3,logreg,0.7177424070299709,0.7686712720104247,16,layer_24/width_16k/matryoshka_batch_topk_32,True
26_headline_isfrontpage,24,3,logreg,0.4319917102617242,0.6027004149356314,128,layer_24/width_16k/standard_new,True
36_sciq_tf,24,3,logreg,0.6017954475670209,0.5744459458679835,16,layer_24/width_16k/standard,False
41_truthqa_tf,24,3,logreg,0.5982496189847004,0.624714647340088,128,layer_24/width_16k/standard_new,True
42_temp_sense,24,3,logreg,0.6506127749370993,0.6487257527798069,128,layer_24/width_16k/jumprelu_32,False
44_phys_tf,24,3,logreg,0.5748170994762183,0.5763015536528502,128,layer_24/width_16k/jumprelu_32,True
47_reasoning_tf,24,3,logreg,0.5048407145490794,0.5174309880798094,128,layer_24/width_16k/standard,True
48_cm_correct,24,3,logreg,0.492410101019166,0.5724917003258332,128,layer_24/width_16k/matryoshka_batch_topk_32,True
49_cm_isshort,24,3,logreg,0.9970360595922694,0.9908857430219596,128,layer_24/width_16k/p_anneal,False
50_deon_isvalid,24,3,logreg,0.6286726739277732,0.6311869351365801,128,layer_24/width_16k/p_anneal,True
51_just_is,24,3,logreg,0.5836882476357387,0.5669010789095648,128,layer_24/width_16k/gated,False
52_virtue_is,24,3,logreg,0.5769260956804462,0.6253315332115429,16,layer_24/width_16k/topk_32,True
54_cs_tf,24,3,logreg,0.5156072015338452,0.5433688824558446,16,layer_24/width_16k/topk_32,True
56_wikidatasex_or_gender,24,3,logreg,0.6505551919518,0.6307510379801038,128,layer_24/width_16k/jumprelu_32,False
57_wikidatais_alive,24,3,logreg,0.8318196590899621,0.7268974507067625,128,layer_24/width_16k/jumprelu_32,False
58_wikidatapolitical_party,24,3,logreg,0.5172655663715394,0.533458942140923,128,layer_24/width_16k/standard,True
59_wikidata_occupation_isjournalist,24,3,logreg,0.4694017293103241,0.5849584941425938,16,layer_24/width_16k/topk_32,True
60_wikidata_occupation_isathlete,24,3,logreg,0.6803647374910141,0.6636208288320128,16,layer_24/width_16k/standard,False
61_wikidata_occupation_isactor,24,3,logreg,0.7583523760948752,0.841848526712744,16,layer_24/width_16k/topk_32,True
62_wikidata_occupation_ispolitician,24,3,logreg,0.6574682430994253,0.678559523857334,16,layer_24/width_16k/topk_32,True
63_wikidata_occupation_issinger,24,3,logreg,0.6073780828189445,0.7630436223147699,16,layer_24/width_16k/topk_32,True
64_wikidata_occupation_isresearcher,24,3,logreg,0.8620321929065201,0.8085550829914561,128,layer_24/width_16k/jumprelu_32,False
5_hist_fig_ismale,24,4,logreg,0.6064855087914947,0.8212373663448179,16,layer_24/width_16k/topk_32,True
6_hist_fig_isamerican,24,4,logreg,0.917682323672314,0.905016684553089,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,4,logreg,0.5637213014304114,0.6124625771903065,16,layer_24/width_16k/matryoshka_batch_topk_32,True
21_headline_istrump,24,4,logreg,0.763424516144754,0.7977771885109209,16,layer_24/width_16k/batch_topk_32,True
22_headline_isobama,24,4,logreg,0.6089647076087754,0.7347934551324382,128,layer_24/width_16k/jumprelu_32,True
23_headline_ischina,24,4,logreg,0.514208960370549,0.6421839650886182,16,layer_24/width_16k/standard,True
24_headline_isiran,24,4,logreg,0.6952958349715165,0.7876935496013987,16,layer_24/width_16k/batch_topk_32,True
26_headline_isfrontpage,24,4,logreg,0.5055838022440379,0.6167415309901104,128,layer_24/width_16k/batch_topk_32,True
36_sciq_tf,24,4,logreg,0.4981870959322524,0.6832038317878973,128,layer_24/width_16k/standard_new,True
41_truthqa_tf,24,4,logreg,0.6129123221194832,0.6441930618401206,128,layer_24/width_16k/jumprelu_32,True
42_temp_sense,24,4,logreg,0.5402968342553554,0.682570126483562,128,layer_24/width_16k/jumprelu_32,True
44_phys_tf,24,4,logreg,0.5179255939793885,0.5746771225550724,128,layer_24/width_16k/gated,True
47_reasoning_tf,24,4,logreg,0.5025083270270718,0.5126725476007667,128,layer_24/width_16k/gated,True
48_cm_correct,24,4,logreg,0.5703013351810804,0.5814208435230362,16,layer_24/width_16k/p_anneal,True
49_cm_isshort,24,4,logreg,0.9991358725747116,0.9985659332431905,128,layer_24/width_16k/batch_topk_32,False
50_deon_isvalid,24,4,logreg,0.5947909308624313,0.6099049844601352,128,layer_24/width_16k/p_anneal,True
51_just_is,24,4,logreg,0.4443251838154544,0.5775277811356013,128,layer_24/width_16k/gated,True
52_virtue_is,24,4,logreg,0.6177939216749517,0.606635973331299,128,layer_24/width_16k/topk_32,False
54_cs_tf,24,4,logreg,0.4924872216555783,0.5169073985660294,128,layer_24/width_16k/p_anneal,True
56_wikidatasex_or_gender,24,4,logreg,0.3962453903851956,0.5747600082468858,16,layer_24/width_16k/standard,True
57_wikidatais_alive,24,4,logreg,0.8451623132707207,0.7878108654324341,128,layer_24/width_16k/standard,False
58_wikidatapolitical_party,24,4,logreg,0.5185484453553302,0.5572618311835063,16,layer_24/width_16k/gated,True
59_wikidata_occupation_isjournalist,24,4,logreg,0.4621318866418896,0.567760395414701,16,layer_24/width_16k/jumprelu_32,True
60_wikidata_occupation_isathlete,24,4,logreg,0.6926521046104245,0.7636677567773461,128,layer_24/width_16k/gated,True
61_wikidata_occupation_isactor,24,4,logreg,0.7854033041006789,0.8332864324436234,128,layer_24/width_16k/topk_32,True
62_wikidata_occupation_ispolitician,24,4,logreg,0.5827844254205503,0.6103641586080888,16,layer_24/width_16k/jumprelu_32,True
63_wikidata_occupation_issinger,24,4,logreg,0.7940072723179559,0.8296422333131659,16,layer_24/width_16k/matryoshka_batch_topk_32,True
64_wikidata_occupation_isresearcher,24,4,logreg,0.8521432623133711,0.8126919140225178,128,layer_24/width_16k/matryoshka_batch_topk_32,False
5_hist_fig_ismale,24,5,logreg,0.5484409084253126,0.6241238785701833,128,layer_24/width_16k/standard,True
6_hist_fig_isamerican,24,5,logreg,0.8925440203855358,0.884586373492003,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,5,logreg,0.6041215016690433,0.6209051181802625,16,layer_24/width_16k/standard_new,True
21_headline_istrump,24,5,logreg,0.807630430044287,0.7950545059357572,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,5,logreg,0.5855280073461891,0.76430927456382,16,layer_24/width_16k/standard,True
23_headline_ischina,24,5,logreg,0.5348557860511548,0.6835246700782296,128,layer_24/width_16k/standard_new,True
24_headline_isiran,24,5,logreg,0.5626695093626762,0.7566322010718751,16,layer_24/width_16k/batch_topk_32,True
26_headline_isfrontpage,24,5,logreg,0.4995314361214234,0.5569079371016145,16,layer_24/width_16k/standard_new,True
36_sciq_tf,24,5,logreg,0.6903803988093682,0.6665736970066923,128,layer_24/width_16k/gated,False
41_truthqa_tf,24,5,logreg,0.6215581854043392,0.624930966469428,128,layer_24/width_16k/standard_new,True
42_temp_sense,24,5,logreg,0.5381748315487433,0.6861671982899159,128,layer_24/width_16k/standard_new,True
44_phys_tf,24,5,logreg,0.6018347367261218,0.6036903876161205,16,layer_24/width_16k/jumprelu_32,True
47_reasoning_tf,24,5,logreg,0.4979157280855709,0.5080985613797487,128,layer_24/width_16k/standard,True
48_cm_correct,24,5,logreg,0.594941402650742,0.5825943474981352,128,layer_24/width_16k/p_anneal,False
49_cm_isshort,24,5,logreg,0.999646512138154,0.9985498016121548,128,layer_24/width_16k/standard,False
50_deon_isvalid,24,5,logreg,0.6118002395826534,0.6353435897205602,16,layer_24/width_16k/standard_new,True
51_just_is,24,5,logreg,0.4527502686844558,0.5857672378660561,16,layer_24/width_16k/gated,True
52_virtue_is,24,5,logreg,0.5382804743556953,0.6791900778033547,16,layer_24/width_16k/jumprelu_32,True
54_cs_tf,24,5,logreg,0.5011348018904223,0.542718863757855,128,layer_24/width_16k/gated,True
56_wikidatasex_or_gender,24,5,logreg,0.3989777721251084,0.6238242799649527,128,layer_24/width_16k/standard_new,True
